Quote,Theme
"Excellence is never an accident. It is always the result of high intention, sincere effort, and intelligent execution",habits
"We are what we repeatedly do... excellence, therefore, isn't just an act, but a habit and life isn't just a series of events, but an ongoing process of self-definition.",habits
95% of everything you do is the result of habit.,habits
Peace is more difficult than war.,happiness
Find the good. Seek the Unity. Ignore the divisions among us.,happiness
"Your happiness depends on you alone.
",happiness
Be a free thinker and don't accept everything you hear as truth. Be critical and evaluate what you believe in,intellect
Educating the mind without educating the heart is no education at all.,intellect
"The more you know, the more you know you don't know.",intellect
The proof that you know something is that you are able to teach it,intellect
